Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.008400,0.125700
99.855700,0.157500
99.398400,0.252400
98.639200,0.408600
97.582500,0.623100
96.234300,0.892200
94.602700,1.211000
92.697100,1.574000
90.528700,1.975200
88.110400,2.407900
85.456500,2.865300
82.583000,3.340400
79.506900,3.826000
76.246900,4.314900
72.822800,4.800000
69.255400,5.274100
65.566500,5.730200
61.778800,6.161500
57.915500,6.560900
54.000800,6.922000
50.058800,7.238100
46.114300,7.503400
42.192100,7.712200
38.303200,7.857400
34.468000,7.919800
30.728900,7.894100
27.110600,7.780200
23.637100,7.579400
20.331300,7.294700
17.215100,6.930900
14.308800,6.494100
11.631300,5.991800
9.199600,5.432500
7.028900,4.825700
5.132400,4.180800
3.521400,3.507600
2.205100,2.815200
1.190700,2.112000
0.483300,1.404900
0.086000,0.699700
0.000000,0.000000
0.222300,-0.668900
0.747900,-1.282800
1.572300,-1.840400
2.689200,-2.340800
4.090600,-2.782600
5.766900,-3.165100
7.707100,-3.487800
9.898700,-3.750700
12.328100,-3.954600
14.980500,-4.101300
17.840100,-4.193400
20.890200,-4.234600
24.113100,-4.229400
27.490400,-4.183400
31.002800,-4.102700
34.630300,-3.994100
38.352200,-3.864400
42.164400,-3.717400
46.039700,-3.544400
49.941200,-3.349300
53.845100,-3.137300
57.727900,-2.913800
61.565800,-2.683300
65.335200,-2.450000
69.012900,-2.217200
72.576200,-1.988000
76.002900,-1.764900
79.271600,-1.549900
82.361900,-1.344800
85.254100,-1.151000
87.930200,-0.970100
90.373000,-0.803300
92.566900,-0.652000
94.497900,-0.517400
96.153600,-0.400800
97.523200,-0.303500
98.597800,-0.226500
99.370500,-0.170800
99.836100,-0.137000
99.991600,-0.125700
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.086000,0.349850
0.483300,0.215576
1.190700,0.264852
2.205100,0.345645
3.521400,0.452222
5.132400,0.580240
7.028900,0.725350
9.199600,0.882831
11.631300,1.047841
14.308800,1.214975
17.215100,1.378815
20.331300,1.533825
23.637100,1.674616
27.110600,1.795813
30.728900,1.892553
34.468000,1.960421
38.303200,1.995646
42.192100,1.998018
46.114300,1.981365
50.058800,1.947593
54.000800,1.896831
57.915500,1.829184
61.778800,1.745692
65.566500,1.647421
69.255400,1.536249
72.822800,1.414028
76.246900,1.283025
79.506900,1.145858
82.583000,1.005208
85.456500,0.863991
88.110400,0.725052
90.528700,0.591319
92.697100,0.465538
94.602700,0.350490
96.234300,0.248567
97.582500,0.161925
98.639200,0.092542
99.398400,0.041813
99.855700,0.010962
100.008400,0.062850
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
